Slug,Algorithm,Action,Waypoints,Gamma,LR,Reward Mean,Reward Max,Training Time
ppo_cont_multiple,ppo,cont,multiple,0.7,1e-05,-149.4199423531049,555.1292718344791,2732.4890847206116
ppo_cont_single,ppo,cont,single,0.7,1e-05,55.966297811934076,298.6565324271577,2538.821256875992
ppo_disc_multiple,ppo,disc,multiple,0.8,0.0001,-81.26356153255374,467.53086512511015,2605.317711353302
ppo_disc_single,ppo,disc,single,0.7,0.0001,123.20586221371909,274.7707940474499,2439.2543244361877
marwil_cont_multiple,marwil,cont,multiple,0.99,0.001,-214.34347488868892,-200.0,169.20389533042908
marwil_cont_single,marwil,cont,single,0.99,0.001,-214.44004867229216,-201.8429130919705,207.69160103797913
marwil_disc_multiple,marwil,disc,multiple,0.9,0.001,-234.54677003501615,-229.53329709651567,199.1283802986145
marwil_disc_single,marwil,disc,single,0.99,0.001,-210.5591479272233,-206.01966777462778,207.4127597808838
sac_cont_multiple,sac,cont,multiple,0.9,1e-05,-353.11540941044194,-163.0979851154165,9389.931864976883
sac_cont_single,sac,cont,single,0.99,1e-06,-262.0032738259519,263.4610886203898,11726.139798641205
sac_disc_multiple,sac,disc,multiple,0.8,0.001,-414.8598053945363,-181.98517709026345,9691.572938919067
sac_disc_single,sac,disc,single,0.8,0.001,-290.57412683969255,252.41166466986414,9607.383259773254
